cleaned_time,detrended_flux,trend_time,trend_flux,raw_time,raw_flux
2115.8905417870237,0.9909301966387826,2115.8905417870237,1.005510840471518,2115.8905417870237,0.9963910548708689
2115.8919306939188,0.9886251219724432,2115.8919306939188,1.005464541722368,2115.8919306939188,0.9940275051992428
2115.8933196012804,0.9880460328863963,2115.8933196012804,1.0054306646941784,2115.8933196012804,0.9934117795934154
2115.8947085081763,0.9863039927153173,2115.8947085081763,1.0054125669389933,2115.8947085081763,0.9916424290980853
2115.896097415538,0.9885260765458801,2115.896097415538,1.0053555442526865,2115.896097415538,0.9938201716937561
2115.897486322434,0.988956170935244,2115.897486322434,1.0053205192768209,2115.897486322434,0.9942179313066359
2115.8988752293294,0.9852072151417619,2115.8988752293294,1.0052568624957499,2115.8988752293294,0.9903863140015828
2115.900264136691,0.9891494693258726,2115.900264136691,1.0052266179476876,2115.900264136691,0.9943193756951969
2115.9016530435865,0.9872838770725069,2115.9016530435865,1.005176229907322,2115.9016530435865,0.9923942854040263
2115.9030419504825,0.9890350311186622,2115.9030419504825,1.0051473082400364,2115.9030419504825,0.994125899284024
2115.904430857844,0.9868973851648135,2115.904430857844,1.005101049822674,2115.904430857844,0.991931597896406
2115.90581976474,0.9884054668610539,2115.90581976474,1.005030387169227,2115.90581976474,0.9933775290395456
2115.907208671636,0.9899474720511973,2115.907208671636,1.0049795563038557,2115.907208671636,0.9948769712261358
2115.9085975785315,0.9864167294827607,2115.9085975785315,1.0049461079739526,2115.9085975785315,0.9912956531340956
2115.9099864854275,0.9841202011114549,2115.9099864854275,1.0049253247380883,2115.9099864854275,0.9889673126832416
2115.9113753923234,0.9874933224342936,2115.9113753923234,1.0049015200799694,2115.9113753923234,0.9923335407830409
2115.912764299219,0.9872028442089692,2115.912764299219,1.0048852199648164,2115.912764299219,0.9920255472528223
2115.914153206115,0.9914228557924796,2115.914153206115,1.0048484675899128,2115.914153206115,0.9962297373766882
2115.915542113011,0.9874007428226016,2115.915542113011,1.004817183333661,2115.915542113011,0.9921572332245712
2115.9169310199068,0.9884394555359066,2115.9169310199068,1.0047787513885273,2115.9169310199068,0.9931629619565241
2115.9183199268027,0.9881878386607226,2115.9183199268027,1.004745936079301,2115.9183199268027,0.9928777149773489
2115.919708833698,0.9907824389564179,2115.919708833698,1.0047235559577408,2115.919708833698,0.9954624552487754
2115.921097740594,0.9891322658611902,2115.921097740594,1.0046913049485466,2115.921097740594,0.993772586954792
2115.92248664749,0.9898682982062157,2115.92248664749,1.0046290535905409,2115.92248664749,0.9944504516061897
2115.9238755543856,0.9924637001502931,2115.9238755543856,1.0045913650211626,2115.9238755543856,0.9970204632679368
2115.925264460816,0.9902530606849053,2115.925264460816,1.004574637046027,2115.925264460816,0.994783109021256
2115.926653367712,0.9897932066671393,2115.926653367712,1.0045247676574522,2115.926653367712,0.9942717909562327
2115.928042274608,0.9932483472126886,2115.928042274608,1.0044618034315425,2115.928042274608,0.9976800260966561
2115.929431181504,0.990319531696709,2115.929431181504,1.0044344303664134,2115.929431181504,0.9947110347005172
2115.9308200879336,0.9918645245838388,2115.9308200879336,1.0044069042066337,2115.9308200879336,0.996235576529638
2115.932208994829,0.9932948892473299,2115.932208994829,1.0043445462840797,2115.932208994829,0.9976103048674047
2115.933597901724,0.991532676055563,2115.933597901724,1.0042961993740114,2115.933597901724,0.9957924981177447
2115.9349868081545,0.9921560264632447,2115.9349868081545,1.0042383811804003,2115.9349868081545,0.9963611618938273
2115.93637571505,0.9928393349547175,2115.93637571505,1.0042022425563382,2115.93637571505,0.9970114866596708
2115.940542434806,0.9889208561392886,2115.940542434806,1.0040876420699743,2115.940542434806,0.9929632106347185
2115.941931341702,0.9929535303134742,2115.941931341702,1.0040356713880165,2115.941931341702,0.9969607644653903
2115.9433202481323,0.99251225828827,2115.9433202481323,1.003985155446366,2115.9433202481323,0.9964675739199724
2115.9474869678897,0.9930393185244873,2115.9474869678897,1.003872141087145,2115.9474869678897,0.9968845068708965
2115.9488758747857,0.9950018449759598,2115.9488758747857,1.003829682381513,2115.9488758747857,0.9988123860112371
2115.950264781216,0.9927671535899604,2115.950264781216,1.0037776815509072,2115.950264781216,0.9965175117504238
2115.9516536876463,0.9954216055988314,2115.9516536876463,1.0037410013648584,2115.9516536876463,0.9991454791839862
2115.9530425940757,0.993670222236823,2115.9530425940757,1.00369118561498,2115.9530425940757,0.9973380434671775
2115.9544315009707,0.996130613975636,2115.9544315009707,1.0036435561695236,2115.9544315009707,0.9997600718198383
2115.955820407401,0.9985825330405971,2115.955820407401,1.0036064221468681,2115.955820407401,1.0021838432032304
2115.9572093138313,0.9967187589019866,2115.9572093138313,1.0035635394511473,2115.9572093138313,1.0002706055210324
2115.958598220261,0.9974989614335081,2115.958598220261,1.0035177441005214,2115.958598220261,1.001007907520367
2115.9599871266914,0.9968595692527839,2115.9599871266914,1.0034632221057656,2115.9599871266914,1.000311915349364
2115.9613760331213,0.9972966791368693,2115.9613760331213,1.0034217229311428,2115.9613760331213,1.0007091520530245
2115.9627649395516,0.9949530905616609,2115.9627649395516,1.0033687265584885,2115.9627649395516,0.9983048154622862
2115.964153845982,0.9958193946494646,2115.964153845982,1.0033153680466051,2115.964153845982,0.9991209024506751
2115.965542752412,0.9966718567075094,2115.965542752412,1.0032618701539049,2115.965542752412,0.9999228708901405
2115.9669316588424,1.0030679200205588,2115.9669316588424,1.0032086507310864,2115.9669316588424,1.0062864146354622
2115.9697094717026,0.9988377475801954,2115.9697094717026,1.0031238295186773,2115.9697094717026,1.0019579464204555
